"Date","Chrome","Safari","IE","Firefox","Android","Edge","IEMobile","Opera","UC Browser","QQ Browser","Chromium","Sogou Explorer","Maxthon","Mozilla","Sony PS4","Puffin","BlackBerry","Samsung","Unknown","Pale Moon","360 Safe Browser","Iceweasel","Sony PS3","Sony PSP Vita","Other"
2016-01-01,36.42,31.31,19.19,7,2.26,1.82,0.43,0.4,0.3,0.16,0.1,0.1,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.02,0.09
2016-01-02,37.84,32.72,16.41,6.8,2.36,1.92,0.43,0.38,0.28,0.13,0.14,0.09,0.08,0.06,0.06,0.06,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.09
2016-01-03,37.17,31.89,18.25,6.78,2.19,1.88,0.4,0.37,0.28,0.12,0.09,0.08,0.08,0.06,0.06,0.05,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.09
2016-01-04,37.48,29.47,20.34,7.14,1.99,1.81,0.37,0.37,0.27,0.14,0.09,0.09,0.08,0.06,0.05,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.01,0.01,0.08
2016-01-05,39.16,29.61,18.21,7.35,2,1.86,0.37,0.38,0.3,0.12,0.1,0.09,0.07,0.06,0.05,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.09
2016-01-06,40.02,30.43,16.4,7.32,2.07,1.83,0.38,0.42,0.3,0.14,0.1,0.09,0.08,0.09,0.05,0.04,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.09
2016-01-07,40.1,31.49,15.06,7.46,2.1,1.95,0.39,0.41,0.29,0.11,0.1,0.09,0.08,0.05,0.05,0.04,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.1
2016-01-08,39.82,31.84,14.03,7.56,2.26,2.5,0.45,0.43,0.3,0.13,0.1,0.09,0.08,0.07,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.09
2016-01-09,39.57,34.59,11.52,7.32,2.44,2.44,0.47,0.44,0.33,0.14,0.13,0.08,0.08,0.07,0.07,0.06,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.09
2016-01-10,40.3,34.17,11.52,7.46,2.41,2.06,0.46,0.42,0.3,0.14,0.12,0.09,0.08,0.09,0.06,0.05,0.03,0.04,0.03,0.02,0.01,0.01,0.01,0.02,0.1
