"Date","Chrome","Safari","IE","Firefox","UC Browser","Opera","Android","Edge","IEMobile","Yandex Browser","BlackBerry","Nokia","Maxthon","360 Safe Browser","Coc Coc","QQ Browser","Sogou Explorer","NetFront","Chromium","Unknown","Puffin","Sony PS4","SeaMonkey","Phantom","Silk","Iron","Dolfin","Mozilla","Pale Moon","Baidu Browser","Samsung","Tizen","MeeGo","Iceweasel","SonyEricsson","Sony PS3","Opera Mini","Amigo","Openwave","Sony PSP Vita","Other"
2016-01-01,45.98,13.67,8.61,8.35,8.08,5.93,5.39,1.05,0.78,0.34,0.31,0.15,0.13,0.13,0.11,0.11,0.1,0.09,0.09,0.07,0.06,0.06,0.03,0.03,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.07
2016-01-02,46.68,13.48,8.44,8.77,7.79,5.67,5.16,1.1,0.76,0.33,0.31,0.14,0.13,0.11,0.11,0.1,0.09,0.09,0.09,0.07,0.06,0.06,0.03,0.02,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.07
2016-01-03,46.3,14.17,8.75,8.79,7.33,5.5,5.18,1.11,0.78,0.31,0.3,0.14,0.12,0.11,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.06,0.04,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.07
2016-01-04,47.02,13.03,10.16,9.41,6.9,5.25,4.59,1,0.7,0.28,0.3,0.13,0.12,0.1,0.1,0.08,0.09,0.08,0.08,0.06,0.05,0.05,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.07
2016-01-05,47.31,12.89,9.84,9.4,7,5.26,4.66,0.99,0.7,0.29,0.29,0.13,0.12,0.11,0.1,0.09,0.09,0.08,0.08,0.07,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.06
2016-01-06,47.14,12.94,10.15,9.19,6.96,5.3,4.66,1.01,0.71,0.29,0.29,0.13,0.12,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.06
2016-01-07,46.95,12.25,11.45,9,7.01,5.25,4.55,0.96,0.69,0.28,0.29,0.13,0.11,0.11,0.1,0.08,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.06
2016-01-08,47.52,12.13,10.15,9.11,7.32,5.38,4.73,0.98,0.71,0.3,0.29,0.13,0.12,0.11,0.1,0.09,0.09,0.08,0.07,0.07,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.06
2016-01-09,47.71,13.16,8.16,8.54,7.56,5.6,5.26,1.09,0.77,0.37,0.31,0.14,0.13,0.11,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.07
2016-01-10,47.57,14.03,7.77,8.47,7.31,5.46,5.35,1.14,0.78,0.35,0.3,0.14,0.12,0.12,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.05,0.02,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.07
